Symbol	Length	LTL_S1	LTL_S2	LTL_S3
POMGNT1	5779	1390	1855	1696
LINC00505	356	1	2	2
MKNK1	3875	249	335	279
CYP4Z2P	1448	0	0	0
CYP4X1	2954	36	21	40
CYP4Z1	2008	3	4	4
CYP4A22-AS1	925	4	8	9
CMPK1	3515	1433	1719	1441
SPATA6	5285	240	331	370
RP11-141A19.1	716	0	0	0
ELAVL4	6482	0	1	0
TTC39A	8957	919	736	683
EPS15	5608	873	1211	1259
OSBPL9	4875	1382	1939	1882
NRD1	4118	1420	1837	2024
ZFYVE9	5373	882	937	883
CC2D1B	5783	872	1104	1029
ZCCHC11	8605	1526	1683	1996
ZYG11B	8226	1169	1448	1363
ZYG11A	4708	2	0	0
LRP8	4736	18	17	70
GLIS1	2822	30	22	25
NDC1	5153	511	675	701
HSPB11	2941	259	317	354
RP11-446E24.4	2694	1	2	1
CYB5RL	3783	27	42	42
MRPL37	2088	690	868	689
SSBP3	3757	488	771	678
ACOT11	7940	247	304	336
MROH7-TTC4	5900	0	3	3
RP11-466L17.1	4066	0	0	0
PPAP2B	4917	844	927	910
PRKAA2	9356	1475	1708	1477
C1orf168	3557	20	16	6
C8B	2527	0	1	0
RP4-737A23.2	4196	7	3	11
OMA1	2054	368	496	385
HOOK1	6138	2956	4427	3410
RP11-776H12.1	1806	10	6	11
RP11-436K8.1	2350	4	0	3
INADL	9678	3680	3438	3399
KANK4	5990	11	27	89
DOCK7	9146	1100	1345	1528
ATG4C	2949	204	339	256
LINC00466	1103	0	0	0
PGM1	3803	207	313	294
ROR1	6847	264	282	562
RP11-24J23.2	3553	6	11	20
RAVER2	4413	423	635	577
JAK1	5111	2225	2451	2286
AK4	7358	1720	1220	966
DNAJC6	6391	142	131	159
PDE4B	7033	63	55	54
TCTEX1D1	2233	0	1	2
WDR78	5102	318	505	419
SLC35D1	7167	773	895	802
C1orf141	2193	2	4	2
IL23R	2985	0	0	2
SERBP1	6991	3564	4761	3900
GNG12	4728	2355	2067	2672
GNG12-AS1	3481	30	21	31
WLS	3443	500	541	774
DEPDC1	5450	20	31	157
RP11-424D14.1	632	0	0	0
PIN1P1	997	0	0	0
LRRC40	2899	622	819	671
ANKRD13C	4094	670	840	717
PTGER3	9577	120	58	136
ZRANB2-AS2	4862	29	51	35
RP4-660H19.1	504	8	15	12
RP4-598G3.1	3875	0	0	0
LRRIQ3	4260	35	104	65
FPGT-TNNI3K	9388	30	59	57
TNNI3K	3467	5	3	7
RP11-439H8.4	795	3	3	1
LRRC53	3864	6	7	6
C1orf173	8031	3	7	1
SLC44A5	6341	1326	2341	1193
MSH4	3286	11	8	6
ST6GALNAC5	4088	18	10	16
AK5	5775	32	127	48
ZZZ3	5870	1746	2201	1816
FAM73A	5307	602	872	755
NEXN	4217	21	28	45
GIPC2	3981	1555	1625	1104
PTGFR	4579	4	2	26
ELTD1	3542	1	5	38
RP11-115A15.1	351	38	36	34
RP5-887A10.1	595	943	982	746
RP11-147G16.1	673	0	0	0
RP4-601K24.1	1723	8	15	12
RP11-475O6.1	3180	12	10	20
TTLL7	8625	103	177	180
PRKACB	6258	691	866	911
SAMD13	2314	49	67	60
LPAR3	3546	8	11	44
MCOLN2	3191	6	4	4
WDR63	3221	21	69	38
C1orf52	3422	338	489	457
RP11-131L23.1	2283	35	26	35
COL24A1	9045	32	52	127
CLCA2	4375	0	1	0
HS2ST1	10120	977	1065	1045
RP5-1052I5.2	2018	5	7	4
PKN2	6878	1451	2050	1745
GBP1	3408	26	22	59
GBP4	6138	0	0	2
LRRC8B	7990	155	310	254
LRRC8D	4219	605	828	688
HFM1	4970	114	171	149
RPAP2	17006	578	636	727
EVI5	7603	507	719	782
MTF2	4143	1080	1549	1331
CCDC18	5599	162	158	227
FNBP1L	5533	3299	4323	3480
BCAR3	4147	108	91	181
RP11-488P3.1	1673	2	3	5
ABCA4	8182	187	290	224
ABCD3	5593	1599	1956	1872
LINC01057	1336	164	143	156
SLC44A3	2777	1211	1227	1029
RP11-57H12.6	1499	1	1	2
RP11-57H12.3	2510	7	14	10
RP4-617C6.1	2759	0	0	0
RP5-898J17.1	2000	0	0	0
PTBP2	12400	625	817	857
DPYD	6255	95	123	112
DPYD-AS1	538	0	0	1
RP5-1070A16.1	2232	1	0	2
SNX7	1939	794	993	722
RP5-896L10.1	2547	0	0	0
LPPR4	5547	37	18	27
PALMD	2723	2	4	25
HIAT1	2789	910	1241	1120
RP4-714D9.2	386	1	3	0
CDC14A	5672	182	223	336
VCAM1	3110	18	13	203
RP11-157N3.1	773	1	0	1
OLFM3	4204	22	42	153
RP5-936J12.1	938	0	0	0
COL11A1	7701	431	81	1142
RNPC3	3927	1268	1684	1762
AMY1A	1970	0	0	0
VAV3	5879	4009	4488	3073
VAV3-AS1	622	0	0	0
NBPF6	2794	0	0	0
NBPF5P	1616	0	0	0
FAM102B	5817	230	304	305
STXBP3	4629	966	1367	1090
AKNAD1	3899	1	3	6
GPSM2	7449	90	64	144
WDR47	4395	617	704	612
KIAA1324	4589	32	42	36
MYBPHL	1798	2	4	6
GSTM2	4603	622	898	1011
GSTM1	1792	0	0	0
KCNC4	3897	9	13	21
RBM15	4669	561	682	748
DRAM2	2431	462	623	524
ADORA3	3845	5	2	2
KCND3	7871	4	9	7
RP5-965F6.2	549	1	0	0
CTTNBP2NL	6806	846	1123	1056
ST7L	6076	226	246	246
RP11-426L16.8	1826	2	2	0
RP11-31F15.1	3033	26	31	80
LRIG2	11596	805	1226	1294
MAGI3	7402	1074	1368	1045
AP4B1-AS1	1739	9	20	19
BCL2L15	1088	2	3	2
SYT6	5050	5	23	7
TRIM33	9516	1305	1877	1652
DENND2C	7210	9	26	33
SYCP1	3704	1	0	0
TSPAN2	3419	54	44	334
RP4-663N10.1	2612	0	0	0
NGF	1050	5	3	5
CASQ2	2781	3	4	4
SLC22A15	5305	132	271	318
ATP1A1	4471	6523	5143	7364
AL136376.1	344	0	0	0
IGSF3	7326	1876	2532	2123
CD2	1684	0	1	1
CD101	3782	13	13	22
RP11-27K13.3	1951	2	2	4
VTCN1	3009	5	8	4
MAN1A2	8589	1518	2036	1664
SPAG17	7056	287	465	537
WARS2	3652	355	521	385
RP11-418J17.1	5474	177	246	211
HAO2	1856	461	278	55
FAM72B	2601	2	1	6
RP11-343N15.1	2508	0	0	0
RP11-344P13.4	312	0	0	1
RP11-782C8.2	5792	0	0	0
RP11-782C8.1	1790	0	0	0
RP11-435B5.4	1793	0	0	0
RP11-435B5.5	2501	6	16	10
SRGAP2B	1339	47	69	82
NBPF8	5868	0	2	2
AL592284.1	1075	5	3	3
RP4-791M13.3	871	7	11	9
PDE4DIP	20103	2190	3004	3413
SEC22B	2013	1000	1381	1165
NOTCH2NL	6446	612	996	927
RP11-458D21.5	3659	1	3	2
NBPF10	12997	393	424	474
